C:\Users\a_hus\OneDrive\Documents\02_personal\04_education\01_GT_MS\01_courses\2026\cs7643_deep_learning\03_project\.venv\Lib\site-packages\torch\nn\modules\transformer.py:531: UserWarning: The PyTorch API of nested tensors is in prototype stage and will change in the near future. We recommend specifying layout=torch.jagged when constructing a nested tensor, as this layout receives active development, has better operator coverage, and works with torch.compile. (Triggered internally at C:\actions-runner\_work\pytorch\pytorch\pytorch\aten\src\ATen\NestedTensorImpl.cpp:182.)
  output = torch._nested_tensor_from_mask(
device=cuda | cfg=QUICK | bs=6 L=512 epochs=20 k=3
gpu=NVIDIA GeForce RTX 5070 Laptop GPU | VRAM free 7.4/8.5 GB
discovered 773 wells in train
ep16 step70000: loss=0.5440 (reg=0.0107 align=1.777)
ep17 step70200: loss=0.3800 (reg=0.0080 align=1.240)
ep17 step70400: loss=0.3933 (reg=0.0059 align=1.291)
ep17 step70600: loss=0.2414 (reg=0.0034 align=0.793)
ep17 step70800: loss=0.2027 (reg=0.0027 align=0.667)
ep17 step71000: loss=0.2408 (reg=0.0038 align=0.790)
ep17 step71200: loss=0.2462 (reg=0.0009 align=0.818)
ep17 step71400: loss=0.4361 (reg=0.0146 align=1.405)
ep17 step71600: loss=0.3733 (reg=0.0109 align=1.208)
ep17 step71800: loss=0.1865 (reg=0.0096 align=0.590)
ep17 step72000: loss=0.3901 (reg=0.0121 align=1.260)
ep17 step72200: loss=0.3794 (reg=0.0039 align=1.251)
ep17 step72400: loss=0.2529 (reg=0.0035 align=0.831)
ep17 step72600: loss=0.1783 (reg=0.0052 align=0.577)
ep17 step72800: loss=0.3474 (reg=0.0029 align=1.148)
ep17 step73000: loss=0.5057 (reg=0.0097 align=1.653)
ep17 step73200: loss=0.2667 (reg=0.0037 align=0.877)
ep17 step73400: loss=0.3552 (reg=0.0030 align=1.174)
ep17 step73600: loss=0.1988 (reg=0.0043 align=0.648)
ep17 step73800: loss=0.2475 (reg=0.0031 align=0.814)
ep17 step74000: loss=0.3349 (reg=0.0081 align=1.089)
ep18 step74200: loss=0.3580 (reg=0.0022 align=1.186)
ep18 step74400: loss=0.3655 (reg=0.0035 align=1.207)
ep18 step74600: loss=0.2890 (reg=0.0022 align=0.956)
ep18 step74800: loss=0.2591 (reg=0.0052 align=0.846)
ep18 step75000: loss=0.2374 (reg=0.0037 align=0.779)
ep18 step75200: loss=0.5108 (reg=0.0045 align=1.688)
ep18 step75400: loss=0.5284 (reg=0.0031 align=1.751)
ep18 step75600: loss=0.3779 (reg=0.0073 align=1.235)
ep18 step75800: loss=0.3257 (reg=0.0073 align=1.061)
ep18 step76000: loss=0.2334 (reg=0.0064 align=0.756)
ep18 step76200: loss=0.2185 (reg=0.0038 align=0.716)
